"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M118T534",118.064985145201,118.064950965468,118.065540750837,534.464,529.12,542.678,17,16,2636401.8691875,285728.717221681,360482.061908204,461145.549108107,1016257.04711328,108298765.558838,119779182.413062,119836155.059662,490177.155792646,1303509.23974688,112907225.795874,113473328.967773,572518.69665365,105293883.241831,640184.498700196,108624011.31663,474972.120361327,101360362.195374,116618278.717365,107920739.499139,597993.55847656,107289290.542104,814350.54225274,350300.141509376,532928.531001952,3012242.11896455,103244070.682666,107262471.789198,411322.723042967
"M118T621",118.074648326449,118.07447901488,118.077199861376,620.952,618.002,635.896,30,28,22282594.0268281,7931137.39747482,3453990.0749746,1748287.64550196,3000065.08969563,2180709.3759698,5597286.32193402,2546157.18723789,3256580.9893333,4138931.35827069,4818241.17748129,3273076.93945897,4564934.5782336,6516875.82195308,30100365.1202372,4301763.98408747,7993939.90466871,1557344.60734951,3455356.45350408,2716129.88143477,2530322.12935882,5772526.35651145,63160575.4276845,3274087.97906978,3675424.48702384,21258216.3431015,34512637.5827637,3207745.92797158,6105264.37964954
"M118T593",118.086060525662,118.085979577172,118.086105756393,592.7005,591.999,605.139,30,28,655495495.141998,129992439.947999,284961181.0115,193401989.655751,1039075115.46571,378410862.772498,375112042.309145,218573214.552,363221909.782858,280338683.257286,312379137.7443,212597013.653999,865462550.951854,397561062.750297,708854285.671384,295527137.136,343021817.6946,134240318.785833,247717303.5161,951174644.147428,696003164.524497,425581055.033143,572208068.125714,256076304.0374,270208793.1662,607103215.625145,55397905.2568563,335222267.496637,376522625.56489
"M118T577",118.086042843577,118.085988429261,118.086090881663,576.7575,574.439,578.24,28,28,1407700461.204,295777143.087333,379819948.950907,437436499.903109,7077181903.09856,1163345543.48581,1819577215.70419,319285663.876401,789016903.230667,456791933.284499,318908677.919999,348716456.908108,5360937647.22094,562956881.183202,1367584504.515,338849713.885715,501895082.730997,278128788.540887,342949113.334928,5359617856.63479,4984696176.72727,1913609777.3223,1050816197.1606,352219815.112498,558814672.168446,1046163293.1972,56994598.6063751,1158586626.87325,552414111.112899
"M118T519",118.086073967158,118.086025651963,118.086132537575,518.766,507.618,534.747,35,27,358144968.770542,236122270.183477,465648884.127177,91014717.8587777,465832112.91,438130664.443594,518736698.932139,331585327.881822,73578358.2679998,273856563.235063,487703550.304719,83682698.0198333,509707959.920345,450755648.831217,514162585.21244,506042830.271794,86219169.6424994,136372836.088433,509158822.652536,413229398.878769,474149346.101305,90793851.0947223,472494424.425638,498225800.06975,76388454.2640003,82953674.9105891,107757103.6964,445698761.828652,291515031.398534
"M118T733",118.086091675576,118.085904390484,118.086132509204,732.7575,716.772,747.22,30,20,22317254.5986557,20885860.8071857,26560221.3371249,21494809.5359756,21126987.1891071,18335791.5134642,19854357.9241071,21298160.8544444,24978785.2879999,28329302.7289037,22281928.4303124,19931563.4595108,25677709.3110416,25185596.7405555,27199608.6049906,26170226.0327293,29228931.9658637,22722872.8932495,17720232.506893,22388096.49925,24108892.116528,23568798.0553877,32551844.6484077,21874934.2182422,29370427.527409,29547927.4229998,19494076.279921,21984438.4830001,26966590.8299998
"M118T553",118.086052718226,118.086024425264,118.086112447925,553.235,539.261,564.174,28,19,228451295.291729,179654085.589846,212226102.113515,114554273.288,166244181.011454,149929549.298499,224254820.12681,82580378.8650001,311563383.476833,127217521.521999,224719465.413333,261753031.931905,228224971.758952,125747165.238501,222238164.473805,215216297.289077,281078449.366714,320844491.156999,115925375.079333,95359932.3611434,165151529.098501,112988610.862251,221722092.703728,219878364.052698,136741977.425001,85594641.5115623,160004654.1191,207305074.775461,320424736.079368
"M118T662",118.086076659356,118.086016826917,118.086127839178,661.7515,656.631,673.304,22,19,29133145.3101458,27879526.1592628,23619192.6191668,50844176.6355538,68107596.2966666,26071525.8609009,29673220.8738889,35373512.6062307,22790894.7069842,25160045.6224445,28851599.6353374,34316562.0711375,66515914.2646024,27357148.7992783,28797877.1031358,24373725.1761873,25517297.7112393,205593610.199453,30856421.5829999,33285182.7141825,61891021.9528752,27608267.2113614,26074725.9932929,26311722.5741667,26262694.1346631,33927292.5575835,64028494.4475002,25805530.5301608,32890080.7757811
"M118T692",118.086077101229,118.086005592157,118.086124128061,691.6855,678.818,706.151,22,19,32883065.9094481,22056974.1498999,31704208.78154,26997980.0223796,46695767.2460422,35059782.2519625,29429295.7581444,72235009.2894515,17797175.0342362,13150385.0059375,27450199.3139913,23977013.1941813,65074210.06704,34538314.0650752,18063599.2970486,24975439.5522918,114689725.083777,21833025.7044374,32277287.3413508,37109231.9664506,18057597.8377502,37094829.8031251,29155433.8205312,26619684.1142437,31844562.6678486,30641100.8080444,38394641.5532727,35910606.7410278,35540540.7918752
"M118T1149",118.09728212756,118.097235765834,118.09731852633,1148.82,1139.65,1158.24,25,18,15258845.9149083,212210.571496583,124409.969663783,66055.2278339851,536191.39063387,15718867.4341798,16622262.2804011,18582547.8121948,468832.217046272,304358.875593264,153996.052094727,82204.7737555802,305155.42232143,24633.3119677731,262677.539677735,177121.898305666,168873.671874998,925825.25703022,214346.266316636,17974362.9728978,15514399.7068024,15970595.9753723,184184.849069603,372241.392689733,338319.433279855,16196628.9493249,12589352.3258536,14737572.630831,13858609.4325278
"M119T561",119.015917481318,119.015812813756,119.015976748016,560.941,559.341,571.437,19,19,0,262649.590404868,412398.404632813,299170.508507237,4863005.83762929,582937.367688343,1534429.52030752,209559.83599402,409563.866267089,917848.46238892,244012.016378516,167781.614722265,2922961.46358333,736030.224214631,1665819.04868608,256792.829095423,366590.564290881,147186.029404455,256969.206532619,2799505.09896408,2547387.24232246,399666.685474003,1217018.65967014,187082.774686774,323954.155384524,4771620.29568513,0,440405.489264943,386269.579832157
"M119T598",119.04893512252,119.048873265243,119.049000102185,598.238,595.988,615.243,31,27,6984673.58649477,1159496.60251758,3208984.05021993,2912810.65320661,4547613.51012154,2978454.03081092,10786599.6696329,2400084.56515626,4094776.10222741,3036939.61317501,2850874.77061285,3461665.01648091,5000987.64639376,4340622.55899612,14140896.9709999,1951299.92977951,4300235.1324115,1859975.1725752,2828615.51179296,4668782.44250003,4354334.94725765,2152651.20229339,15976847.6097344,2831984.53816619,4479451.50914486,5519693.09072223,0,2041044.7271347,3719820.85391364
"M119T707",119.064266366198,119.064211261969,119.064432313879,706.706,700.795,720.926,17,16,1192743.47387109,2255462.34537854,1371470.31993961,1810166.36862741,11344965.3907455,3476644.12539816,1219447.12814774,1280370.28757876,1823879.37460939,3108893.59343747,2211794.3060576,4631601.38221291,26649526.9466403,46186997.3514934,32135313.2146422,1893088.91832639,3766973.1555762,1670201.3246997,2418800.41364563,32414054.2509763,31908395.2963888,74149609.0541975,47262958.4731478,2314176.05377954,3753209.15073872,713046.695214987,875933.346107483,1506354.05318396,40427645.8801816
