"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M469T352",469.31121109145,469.310913469468,469.311476132518,351.919,349.436,370.375,27,26,1533413.69724309,NA,1960532.19436926,1442173.43791504,2325408.5234427,3571404.47633705,2489936.49354545,1568040.24352344,3870812.64520019,2075428.54239551,2121467.9167199,2108670.66057692,3407891.77569141,3601875.44320312,2657006.33879687,2028528.02406337,4968069.1567779,NA,1744231.3756875,4060868.68500749,2505986.38680468,3735311.14457632,2424126.31249023,1623931.141875,3887785.34071407,1721478.15745333,NA,2778209.29921876,3221517.37869043
"M469T90",469.351648226572,469.351243523295,469.351852824587,89.5442,87.2131,91.9783,17,17,NA,1019363.93032599,456950.423544726,1458848.62708469,NA,493173.778524609,NA,NA,455510.765914941,1022827.5924,526705.019214258,NA,NA,656320.507740365,NA,493408.915399826,981777.687898214,NA,374357.037451479,NA,445769.763642187,504822.900887305,820449.14271332,1202533.90874422,1190560.9108647,NA,NA,NA,359852.411987578
"M471T367",470.578534116472,470.578316151616,470.578800035026,366.694,341.309,398.676,34,19,NA,5775393.7503,NA,820208.303789062,1912444.13351461,1171833.36073343,NA,1879718.81745703,1914870.52717499,1323745.6235216,9891242.18753964,1157121.35575749,326770.570397135,NA,5404411.01860598,2038730.37384375,2186343.98792665,4590728.17210449,8264187.73385125,NA,373369.293984377,NA,9265917.06133584,7968476.43479802,NA,NA,NA,NA,5728575.91632896
"M471T633",471.103534500259,471.103315522076,471.103941432344,632.52,630.29,635.328,16,16,NA,NA,NA,NA,1831747.6635377,NA,NA,NA,2368468.48446562,120256.548808593,NA,1023489.3117678,2137072.107393,1101769.3960625,520701.652956543,94060.7812828125,2163407.61716016,NA,NA,1812468.08438319,1384710.18430253,334862.571936717,374526.128257326,NA,1750675.18485468,NA,NA,351120.690623826,1284162.43914734
"M471T101",471.132720235617,471.13034799489,471.133067056123,100.6725,93.6964,101.416,16,16,680408.804434082,NA,445697.54966125,159707.673721406,NA,NA,NA,NA,719732.675137834,415728.885,502996.086055599,448956.600326693,NA,NA,553020.081188802,334778.765310045,398371.799892501,1134876.04345664,NA,NA,NA,NA,1192388.32863724,431888.759307812,606826.97574961,NA,NA,423244.990442422,782737.905531445
"M472T641",471.999963552769,471.999694101396,472.000254217827,641.2455,636.464,664.818,26,17,8739585.59818233,NA,NA,623443.869323001,NA,508121.816868492,263874.576271903,NA,728084.947591143,515794.84974935,NA,857090.632062493,1421572.2622793,433994.620187503,342769.426165177,NA,1388691.10161433,NA,NA,721932.489904784,279606.050804038,846741.45748373,162363.255820311,NA,1017613.93773193,NA,NA,2991997.38326136,NA
"M473T628",473.119148018526,473.118825814136,473.119360570144,628.23,625.797,631.074,23,23,5572492.94886502,1100870.89000155,NA,864512.884228514,1099619.13513456,351547.880776365,NA,100835.05985726,8026289.37457336,3000894.03672031,179734.328274738,946751.806186853,1259228.20587481,541030.664941411,635686.451868496,122504.190466407,9509376.94417738,1593418.51646485,NA,1201909.86516016,850842.485869137,NA,660015.533866103,NA,8795075.31966493,4688693.23304688,NA,480771.054102348,471864.060216801
"M475T343",475.221748262159,475.221613203957,475.222034231117,342.945,341.261,348.188,27,26,NA,2304485.80690625,3473485.52876407,5345079.40639323,8784261.71060491,7193566.34117,12720370.8570976,3213565.80202528,11479533.8911417,5248171.79480409,3346945.87488282,4732052.64133092,5632743.11440155,6333372.78287855,10071079.9576674,1854362.45052422,11155000.4067254,4296686.40753347,2936688.44487696,12076285.4799125,6726286.28147728,5436776.18520899,12137894.1657458,3173949.97447266,11672630.3975789,NA,NA,5546197.16437289,11208469.2548566
"M475T80",475.296485635122,475.296299160596,475.296740558248,80.1405,77.5525,81.7971,27,27,812317.225703167,2695992.26705703,2684165.19015977,2635455.31188926,2568107.58745547,6389517.97535261,3495128.94128926,2277883.9298039,2878130.76745512,3490641.95451027,3084306.01416826,3294388.04275547,3152629.51202139,4996077.47352188,3083283.07164336,3091348.28510907,1969450.61547757,NA,3316224.1081668,3256403.60363473,3454561.49019065,6375553.38759883,3333051.40183906,3071925.57866651,2564831.4485584,1483022.35703841,NA,4085075.90282422,3278734.81509968
"M476T353",476.274182216518,476.27403667642,476.274592082403,352.826,349.547,362.137,29,26,1088247.11731901,1179912.31032387,948100.820976565,1966058.44727343,3310827.80055645,4479903.11767787,11063521.455099,1168987.02618311,5217895.99220215,2422739.03956859,1528094.29010376,3161349.88260825,6917525.9462193,9030514.46954428,4401874.78743465,1281995.14116462,4379666.18522433,3937246.17298991,NA,6139728.52336237,4236754.99210764,7638189.14400001,5771321.22271876,1529542.50239063,4809211.09215144,NA,NA,11899755.5386443,10880772.1322923
